ID,TITLE,OVERAL RANK,MEAN SCORE
56964,Raise wa Tanin ga Ii,3557,7.18
58600,Ameku Takao no Suiri Karte,3773,7.14
59062,Gachiakuta,666,8.02
59205,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,962,7.85
59597,Witch Watch,2669,7.35
40833,Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,3283,7.23
40908,Kemono Jihen,2590,7.36
41457,86,264,8.33
46569,Jigokuraku,559,8.09
48556,Takt Op. Destiny,3663,7.16
21,One Piece,52,8.73
66,Azumanga Daiou The Animation,602,8.06
237,Koukyoushihen Eureka Seven,615,8.05
263,Hajime no Ippo,35,8.78
306,Abenobashi Mahou☆Shoutengai,3407,7.21
324,Kidou Keisatsu Patlabor: On Television,1354,7.69
329,Planetes,365,8.24
1048,The SoulTaker: Tamashii-gari,8325,6.32
1453,Maison Ikkoku,425,8.19
2164,Dennou Coil,664,8.02
2246,Mononoke,205,8.41
4981,Casshern Sins,2011,7.5
9941,Tiger & Bunny,1018,7.83
21939,Mushishi Zoku Shou,69,8.68
35249,Uma Musume: Pretty Derby,2612,7.36
35737,Pluto,173,8.45
42192,Edens Zero,3166,7.25
49052,Ao Ashi,472,8.16
53199,Kidou Senshi Gundam: Suisei no Majo Season 2,874,7.89
53720,Hi no Tori: Eden no Sora,6702,6.59
58883,Dead Dead Demons Dededede Destruction (ONA),804,7.92
58939,Sakamoto Days,1690,7.58
59636,Uma Musume: Cinderella Gray,128,8.55
2039,Mahou no Yousei Persia,5338,6.83
2389,Kagaku Ninja-tai Gatchaman,4731,6.94
103,Akazukin Chacha,2373,7.41
2938,Idol Densetsu Eriko,4999,6.89
1486,Kodomo no Omocha (TV),614,8.05
949,Top wo Nerae! Gunbuster,957,7.85
52299,Ore dake Level Up na Ken,370,8.23
54437,Lian Qi Shi Wan Nian,2524,7.38
55701,Kimetsu no Yaiba: Hashira Geiko-hen,566,8.08
60697,Fermat no Ryouri,6422,6.64
51818,Enen no Shouboutai: San no Shou,1332,7.7
54789,Boku no Hero Academia 7th Season,574,8.08
54869,High Card Season 2,4094,7.09
58811,Tougen Anki,5523,6.79
59177,Kaijuu 8-gou 2nd Season,910,7.87
60732,Mizu Zokusei no Mahoutsukai,3722,7.15
52991,Sousou no Frieren,1,9.29
55866,Yubisaki to Renren,418,8.2
60988,Tian Guan Cifu Short Film,178,8.45
269,Bleach,711,7.98
55791,[Oshi no Ko] 2nd Season,130,8.55
58514,Kusuriya no Hitorigoto 2nd Season,19,8.91
31741,Magi: Sinbad no Bouken (TV),1008,7.83
