USER_ID,ANIME ID,USER RANK
10,1908,26
10,1912,27
10,2179,28
10,2219,29
10,7058,30
10,10564,31
10,12695,32
10,31680,33
10,33050,34
10,33654,35
10,35798,36
10,37207,37
10,37208,38
10,37597,39
10,39764,40
10,41094,41
10,49320,42
10,49665,43
10,49818,44
10,50694,45
10,51549,46
10,53540,47
10,55255,48
10,56038,49
10,56165,50
10,56785,51
10,58717,52
10,58957,53
10,59597,54
10,60130,55
10,60131,56
10,60562,57
10,60593,58
17,49778,1
17,49818,2
17,50694,3
17,53065,4
17,53447,5
17,58913,6
17,59062,7
17,59177,8
17,59207,9
17,59277,10
17,59459,11
17,59597,12
17,59845,13
17,60285,14
17,60543,15
16,60131,1
16,548,2
16,2596,3
16,58913,4
16,690,5
16,812,6
16,1482,7
16,58197,8
16,60130,9
16,1377,10
16,907,11
16,21,12
16,1765,13
16,6787,14
16,7598,15
16,10191,16
16,15045,17
16,20889,18
16,37208,19
16,37904,20
16,43692,21
16,55255,22
15,58390,1
15,50694,2
15,53065,3
15,59207,4
15,59986,5
15,60543,6
15,22043,7
15,56693,8
15,59205,9
15,59402,10
15,59597,11
15,59689,12
15,59130,13
15,59424,14
15,60665,15
15,60951,16
15,58197,17
18,60557,1
18,2076,2
18,14753,3
18,23301,4
18,30370,5
18,39730,6
18,60108,7
18,51836,8
18,10033,9
18,1,10
18,27,11
18,28,12
18,251,13
18,263,14
18,544,15
18,617,16
18,678,17
18,795,18
18,1409,19
18,1410,20
18,1457,21
18,1470,22
18,1535,23
18,1550,24
18,1589,25
18,1735,26
18,1860,27
18,2596,28
18,2931,29
18,3270,30
18,5220,31
18,9062,32
18,12119,33
18,13163,34
18,13601,35
18,14227,36
18,17729,37
18,19775,38
18,21879,39
18,22043,40
18,22057,41
18,23311,42
18,23579,43
18,23605,44
18,24701,45
18,24821,46
18,25867,47
18,26165,48
18,27899,49
18,27945,50
18,28205,51
18,31234,52
18,33089,53
18,34572,54
18,34604,55
18,34855,56
18,36029,57
18,38909,58
18,41409,59
18,51289,60
18,51335,61
18,55655,62
18,55809,63
19,339,1
19,6746,2
19,20787,3
19,30503,4
19,53924,5
19,355,6
19,918,7
19,35120,8
19,38656,9
19,47794,10
19,173,11
19,3407,12
19,4081,13
19,10620,14
19,24439,15
19,59160,16
22,53447,1
22,59062,2
22,60543,3
21,877,1
21,24765,2
21,1852,3
21,1887,4
21,4181,5
21,1869,6
21,1126,7
21,1942,8
23,18689,1
23,19671,2
23,22265,3
23,32542,4
23,39533,5
23,44074,6
23,54617,7
23,59160,8
23,1313,9
23,10721,10
23,37991,11
23,50172,12
23,534,13
23,19365,14
23,21835,15
23,32483,16
23,32608,17
23,34086,18
23,37584,19
23,37962,20
23,38671,21
23,42249,22
23,46352,23
23,48567,24
23,49154,25
23,481,26
23,19257,27
23,20583,28
23,27727,29
23,33113,30
23,37426,31
23,45665,32
23,48580,33
23,49918,34
23,32696,35
23,32697,36
23,33222,37
23,33255,38
23,49515,39
23,5114,40
23,9539,41
23,13261,42
23,20899,43
23,21439,44
23,22297,45
23,23199,46
23,24405,47
23,24415,48
23,25517,49
23,28171,50
23,28927,51
23,30714,52
23,31741,53
23,32093,54
23,32212,55
23,33966,56
23,34368,57
23,34451,58
23,34474,59
23,34543,60
23,34572,61
23,34771,62
23,34863,63
23,34915,64
23,35067,65
23,36029,66
23,37496,67
23,37571,68
23,39527,69
23,39725,70
23,40060,71
23,40075,72
23,40267,73
23,40506,74
23,40906,75
23,41074,76
23,41120,77
23,41762,78
23,41834,79
23,42205,80
23,42822,81
23,42825,82
23,43591,83
23,44387,84
23,46118,85
23,48406,86
23,50287,87
23,53132,88
23,53199,89
23,54301,90
23,57592,91
23,58516,92
26,962,1
26,2129,2
26,2926,3
26,2966,4
26,3297,5
26,3299,6
26,4896,7
26,6547,8
26,8074,9
26,8676,10
26,8915,11
26,9253,12
26,11757,13
26,13759,14
26,14075,15
26,14749,16
26,14829,17
26,16782,18
26,17549,19
26,17729,20
26,17895,21
26,19815,22
26,20031,23
26,20785,24
26,22535,25
26,22729,26
26,23623,27
26,25777,28
26,25835,29
26,27775,30
26,29095,31
26,30484,32
26,31240,33
26,32182,34
26,32949,35
26,33352,36
26,34620,37
26,35062,38
26,35180,39
26,35247,40
26,35507,41
26,35838,42
26,35972,43
26,36950,44
26,38573,45
26,46569,46
26,48239,47
26,48415,48
26,48483,49
26,48760,50
26,48779,51
26,48916,52
26,49470,53
26,50184,54
26,50582,55
26,50685,56
26,51417,57
26,51632,58
26,52082,59
26,52196,60
26,52608,61
26,54947,62
26,55071,63
26,59142,64
26,30,65
26,477,66
26,17827,67
26,22101,68
26,27655,69
26,30276,70
26,32867,71
26,35252,72
26,37451,73
26,38940,74
26,39534,75
26,42282,76
26,14833,77
26,18119,78
26,30806,79
26,31646,80
26,32360,81
26,37446,82
26,37890,83
